model,paired_n,a1_correct_a2_correct,a1_wrong_a2_correct,a1_wrong_a2_wrong,a1_correct_a2_wrong,improved_families,persistent_wrong_families,regressed_families,a1_wrong_a2_correct_pct,a1_correct_a2_wrong_pct
meta-llama/Llama-3.3-70B-Instruct-Turbo,66,42,12,9,3,CRT (6); finite-unit-inverse-check (3); stable-value-arithmetic (3),stable-value-map (3); prime-power-fiber-specialization (3); characteristic (3),operation-bridge (3),18.2%,4.5%
openai/gpt-oss-120b,66,53,7,6,0,CRT (7),stable-value-map (3); prime-power-fiber-specialization (3),,10.6%,0.0%
